colour	x	y	group	clickSelects	showSelected1	PANEL
#C6DBEF	0	3.2167876190031	1	constant 0.001	0.001	1
#C6DBEF	1	3.21196773773965	1	constant 0.001	0.001	1
#C6DBEF	2	3.20715813215425	1	constant 0.001	0.001	1
#C6DBEF	3	3.20235877815768	1	constant 0.001	0.001	1
#C6DBEF	4	3.19756965172775	1	constant 0.001	0.001	1
#C6DBEF	5	3.19279072890913	1	constant 0.001	0.001	1
#C6DBEF	6	3.1880219858131	1	constant 0.001	0.001	1
#C6DBEF	7	3.18326339861728	1	constant 0.001	0.001	1
#C6DBEF	8	3.17851494356546	1	constant 0.001	0.001	1
#C6DBEF	9	3.17377659696731	1	constant 0.001	0.001	1
#C6DBEF	10	3.16904833519821	1	constant 0.001	0.001	1
#C6DBEF	11	3.16433013469897	1	constant 0.001	0.001	1
#C6DBEF	12	3.15962197197565	1	constant 0.001	0.001	1
#C6DBEF	13	3.15492382359929	1	constant 0.001	0.001	1
#C6DBEF	14	3.15023566620571	1	constant 0.001	0.001	1
#C6DBEF	15	3.1455574764953	1	constant 0.001	0.001	1
#C6DBEF	16	3.14088923123277	1	constant 0.001	0.001	1
#C6DBEF	17	3.13623090724692	1	constant 0.001	0.001	1
#C6DBEF	18	3.13158248143046	1	constant 0.001	0.001	1
#C6DBEF	19	3.12694393073977	1	constant 0.001	0.001	1
#C6DBEF	20	3.12231523219464	1	constant 0.001	0.001	1
#C6DBEF	21	3.11769636287814	1	constant 0.001	0.001	1
#C6DBEF	22	3.11308729993631	1	constant 0.001	0.001	1
#C6DBEF	23	3.10848802057801	1	constant 0.001	0.001	1
#C6DBEF	24	3.10389850207467	1	constant 0.001	0.001	1
#C6DBEF	25	3.09931872176009	1	constant 0.001	0.001	1
#C6DBEF	26	3.09474865703022	1	constant 0.001	0.001	1
#C6DBEF	27	3.09018828534293	1	constant 0.001	0.001	1
#C6DBEF	28	3.08563758421785	1	constant 0.001	0.001	1
#C6DBEF	29	3.08109653123611	1	constant 0.001	0.001	1
#C6DBEF	30	3.07656510404014	1	constant 0.001	0.001	1
#C6DBEF	31	3.07204328033346	1	constant 0.001	0.001	1
#C6DBEF	32	3.06753103788051	1	constant 0.001	0.001	1
#C6DBEF	33	3.06302835450636	1	constant 0.001	0.001	1
#C6DBEF	34	3.05853520809661	1	constant 0.001	0.001	1
#C6DBEF	35	3.05405157659708	1	constant 0.001	0.001	1
#C6DBEF	36	3.04957743801367	1	constant 0.001	0.001	1
#C6DBEF	37	3.04511277041215	1	constant 0.001	0.001	1
#C6DBEF	38	3.04065755191793	1	constant 0.001	0.001	1
#C6DBEF	39	3.03621176071587	1	constant 0.001	0.001	1
#C6DBEF	40	3.0317753750501	1	constant 0.001	0.001	1
#6BAED6	0	3.2167876190031	2	constant 0.01	0.01	1
#6BAED6	1	3.16882028060149	2	constant 0.01	0.01	1
#6BAED6	2	3.12186968879722	2	constant 0.01	0.01	1
#6BAED6	3	3.07591220429976	2	constant 0.01	0.01	1
#6BAED6	4	3.03092483773402	2	constant 0.01	0.01	1
#6BAED6	5	2.9868852273786	2	constant 0.01	0.01	1
#6BAED6	6	2.94377161782947	2	constant 0.01	0.01	1
#6BAED6	7	2.90156283954552	2	constant 0.01	0.01	1
#6BAED6	8	2.86023828923497	2	constant 0.01	0.01	1
#6BAED6	9	2.81977791104353	2	constant 0.01	0.01	1
#6BAED6	10	2.78016217850707	2	constant 0.01	0.01	1
#6BAED6	11	2.74137207723342	2	constant 0.01	0.01	1
#6BAED6	12	2.70338908827983	2	constant 0.01	0.01	1
#6BAED6	13	2.66619517219399	2	constant 0.01	0.01	1
#6BAED6	14	2.6297727536883	2	constant 0.01	0.01	1
#6BAED6	15	2.59410470691851	2	constant 0.01	0.01	1
#6BAED6	16	2.55917434133912	2	constant 0.01	0.01	1
#6BAED6	17	2.52496538810965	2	constant 0.01	0.01	1
#6BAED6	18	2.49146198702669	2	constant 0.01	0.01	1
#6BAED6	19	2.45864867395813	2	constant 0.01	0.01	1
#6BAED6	20	2.42651036875725	2	constant 0.01	0.01	1
#6BAED6	21	2.39503236363496	2	constant 0.01	0.01	1
#6BAED6	22	2.36420031197012	2	constant 0.01	0.01	1
#6BAED6	23	2.33400021753835	2	constant 0.01	0.01	1
#6BAED6	24	2.30441842414099	2	constant 0.01	0.01	1
#6BAED6	25	2.27544160561663	2	constant 0.01	0.01	1
#6BAED6	26	2.24705675621847	2	constant 0.01	0.01	1
#6BAED6	27	2.21925118134163	2	constant 0.01	0.01	1
#6BAED6	28	2.19201248858523	2	constant 0.01	0.01	1
#6BAED6	29	2.16532857913488	2	constant 0.01	0.01	1
#6BAED6	30	2.13918763945175	2	constant 0.01	0.01	1
#6BAED6	31	2.11357813325519	2	constant 0.01	0.01	1
#6BAED6	32	2.08848879378645	2	constant 0.01	0.01	1
#6BAED6	33	2.06390861634157	2	constant 0.01	0.01	1
#6BAED6	34	2.03982685106219	2	constant 0.01	0.01	1
#6BAED6	35	2.01623299597344	2	constant 0.01	0.01	1
#6BAED6	36	1.99311679025867	2	constant 0.01	0.01	1
#6BAED6	37	1.9704682077612	2	constant 0.01	0.01	1
#6BAED6	38	1.94827745070383	2	constant 0.01	0.01	1
#6BAED6	39	1.92653494361706	2	constant 0.01	0.01	1
#6BAED6	40	1.90523132746764	2	constant 0.01	0.01	1
#2171B5	0	3.2167876190031	3	constant 0.1	0.1	1
#2171B5	1	2.76026165827874	3	constant 0.1	0.1	1
#2171B5	2	2.3949639373209	3	constant 0.1	0.1	1
#2171B5	3	2.10137781588509	3	constant 0.1	0.1	1
#2171B5	4	1.86471348753184	3	constant 0.1	0.1	1
#2171B5	5	1.67354222581898	3	constant 0.1	0.1	1
#2171B5	6	1.51890341402001	3	constant 0.1	0.1	1
#2171B5	7	1.39369751290353	3	constant 0.1	0.1	1
#2171B5	8	1.29225770124639	3	constant 0.1	0.1	1
#2171B5	9	1.21003736540495	3	constant 0.1	0.1	1
#2171B5	10	1.14337568309043	3	constant 0.1	0.1	1
#2171B5	11	1.08931788595634	3	constant 0.1	0.1	1
#2171B5	12	1.04547514374025	3	constant 0.1	0.1	1
#2171B5	13	1.0099140051954	3	constant 0.1	0.1	1
#2171B5	14	0.981068404920464	3	constant 0.1	0.1	1
#2171B5	15	0.957669205815568	3	constant 0.1	0.1	1
#2171B5	16	0.938687546390661	3	constant 0.1	0.1	1
#2171B5	17	0.923289157453185	3	constant 0.1	0.1	1
#2171B5	18	0.910797452245146	3	constant 0.1	0.1	1
#2171B5	19	0.900663665553015	3	constant 0.1	0.1	1
#2171B5	20	0.892442673913201	3	constant 0.1	0.1	1
#2171B5	21	0.885773404203757	3	constant 0.1	0.1	1
#2171B5	22	0.880362953431975	3	constant 0.1	0.1	1
#2171B5	23	0.875973713157326	3	constant 0.1	0.1	1
#2171B5	24	0.872412928114253	3	constant 0.1	0.1	1
#2171B5	25	0.869524227775988	3	constant 0.1	0.1	1
#2171B5	26	0.867180757485281	3	constant 0.1	0.1	1
#2171B5	27	0.865279606700497	3	constant 0.1	0.1	1
#2171B5	28	0.863737289237545	3	constant 0.1	0.1	1
#2171B5	29	0.862486076787355	3	constant 0.1	0.1	1
#2171B5	30	0.861471024569338	3	constant 0.1	0.1	1
#2171B5	31	0.860647558435558	3	constant 0.1	0.1	1
#2171B5	32	0.859979517428362	3	constant 0.1	0.1	1
#2171B5	33	0.859437565812589	3	constant 0.1	0.1	1
#2171B5	34	0.858997904838083	3	constant 0.1	0.1	1
#2171B5	35	0.858641227655634	3	constant 0.1	0.1	1
#2171B5	36	0.858351871490062	3	constant 0.1	0.1	1
#2171B5	37	0.858117129837862	3	constant 0.1	0.1	1
#2171B5	38	0.857926694484895	3	constant 0.1	0.1	1
#2171B5	39	0.857772202840873	3	constant 0.1	0.1	1
#2171B5	40	0.857646870712415	3	constant 0.1	0.1	1
#08306B	0	3.2167876190031	4	constant 1	1	1
#08306B	1	0.966270340933756	4	constant 1	1	1
#08306B	2	1.14004065231896	4	constant 1	1	1
#08306B	3	1.59118515445383	4	constant 1	1	1
#08306B	4	2.76169341873985	4	constant 1	1	1
#08306B	5	3.33474465641764	4	constant 1	1	1
#08306B	6	3.33474465641764	4	constant 1	1	1
#08306B	7	3.33474465641764	4	constant 1	1	1
#08306B	8	3.33474465641764	4	constant 1	1	1
#08306B	9	3.33474465641764	4	constant 1	1	1
#08306B	10	3.33474465641764	4	constant 1	1	1
#08306B	11	3.33474465641764	4	constant 1	1	1
#08306B	12	3.33474465641764	4	constant 1	1	1
#08306B	13	3.33474465641764	4	constant 1	1	1
#08306B	14	3.33474465641764	4	constant 1	1	1
#08306B	15	3.33474465641764	4	constant 1	1	1
#08306B	16	3.33474465641764	4	constant 1	1	1
#08306B	17	3.33474465641764	4	constant 1	1	1
#08306B	18	3.33474465641764	4	constant 1	1	1
#08306B	19	3.33474465641764	4	constant 1	1	1
#08306B	20	3.33474465641764	4	constant 1	1	1
#08306B	21	3.33474465641764	4	constant 1	1	1
#08306B	22	3.33474465641764	4	constant 1	1	1
#08306B	23	3.33474465641764	4	constant 1	1	1
#08306B	24	3.33474465641764	4	constant 1	1	1
#08306B	25	3.33474465641764	4	constant 1	1	1
#08306B	26	3.33474465641764	4	constant 1	1	1
#08306B	27	3.33474465641764	4	constant 1	1	1
#08306B	28	3.33474465641764	4	constant 1	1	1
#08306B	29	3.33474465641764	4	constant 1	1	1
#08306B	30	3.33474465641764	4	constant 1	1	1
#08306B	31	3.33474465641764	4	constant 1	1	1
#08306B	32	3.33474465641764	4	constant 1	1	1
#08306B	33	3.33474465641764	4	constant 1	1	1
#08306B	34	3.33474465641764	4	constant 1	1	1
#08306B	35	3.33474465641764	4	constant 1	1	1
#08306B	36	3.33474465641764	4	constant 1	1	1
#08306B	37	3.33474465641764	4	constant 1	1	1
#08306B	38	3.33474465641764	4	constant 1	1	1
#08306B	39	3.33474465641764	4	constant 1	1	1
#08306B	40	3.33474465641764	4	constant 1	1	1
#C6DBEF	0	3.63676932370551	1	linear_down 0.001	0.001	2
#C6DBEF	1	3.63008442188478	1	linear_down 0.001	0.001	2
#C6DBEF	2	3.62341887599365	1	linear_down 0.001	0.001	2
#C6DBEF	3	3.61677261587304	1	linear_down 0.001	0.001	2
#C6DBEF	4	3.61014557166863	1	linear_down 0.001	0.001	2
#C6DBEF	5	3.60353767382942	1	linear_down 0.001	0.001	2
#C6DBEF	6	3.59694885310621	1	linear_down 0.001	0.001	2
#C6DBEF	7	3.59037904055022	1	linear_down 0.001	0.001	2
#C6DBEF	8	3.58382816751158	1	linear_down 0.001	0.001	2
#C6DBEF	9	3.57729616563794	1	linear_down 0.001	0.001	2
#C6DBEF	10	3.57078296687301	1	linear_down 0.001	0.001	2
#C6DBEF	11	3.56428850345513	1	linear_down 0.001	0.001	2
#C6DBEF	12	3.55781270791589	1	linear_down 0.001	0.001	2
#C6DBEF	13	3.55135551307867	1	linear_down 0.001	0.001	2
#C6DBEF	14	3.5449168520573	1	linear_down 0.001	0.001	2
#C6DBEF	15	3.5384966582546	1	linear_down 0.001	0.001	2
#C6DBEF	16	3.53209486536102	1	linear_down 0.001	0.001	2
#C6DBEF	17	3.52571140735328	1	linear_down 0.001	0.001	2
#C6DBEF	18	3.51934621849296	1	linear_down 0.001	0.001	2
#C6DBEF	19	3.51299923332515	1	linear_down 0.001	0.001	2
#C6DBEF	20	3.50667038667708	1	linear_down 0.001	0.001	2
#C6DBEF	21	3.50035961365678	1	linear_down 0.001	0.001	2
#C6DBEF	22	3.49406684965173	1	linear_down 0.001	0.001	2
#C6DBEF	23	3.48779203032749	1	linear_down 0.001	0.001	2
#C6DBEF	24	3.48153509162643	1	linear_down 0.001	0.001	2
#C6DBEF	25	3.47529596976633	1	linear_down 0.001	0.001	2
#C6DBEF	26	3.46907460123912	1	linear_down 0.001	0.001	2
#C6DBEF	27	3.46287092280952	1	linear_down 0.001	0.001	2
#C6DBEF	28	3.45668487151377	1	linear_down 0.001	0.001	2
#C6DBEF	29	3.45051638465832	1	linear_down 0.001	0.001	2
#C6DBEF	30	3.4443653998185	1	linear_down 0.001	0.001	2
#C6DBEF	31	3.4382318548373	1	linear_down 0.001	0.001	2
#C6DBEF	32	3.43211568782403	1	linear_down 0.001	0.001	2
#C6DBEF	33	3.42601683715308	1	linear_down 0.001	0.001	2
#C6DBEF	34	3.41993524146264	1	linear_down 0.001	0.001	2
#C6DBEF	35	3.41387083965343	1	linear_down 0.001	0.001	2
#C6DBEF	36	3.40782357088746	1	linear_down 0.001	0.001	2
#C6DBEF	37	3.40179337458679	1	linear_down 0.001	0.001	2
#C6DBEF	38	3.39578019043226	1	linear_down 0.001	0.001	2
#C6DBEF	39	3.38978395836226	1	linear_down 0.001	0.001	2
#C6DBEF	40	3.38380461857152	1	linear_down 0.001	0.001	2
#6BAED6	0	3.63676932370551	2	linear_down 0.01	0.01	2
#6BAED6	1	3.57035660535393	2	linear_down 0.01	0.01	2
#6BAED6	2	3.50584799463134	2	linear_down 0.01	0.01	2
#6BAED6	3	3.44317537227125	2	linear_down 0.01	0.01	2
#6BAED6	4	3.38227353645146	2	linear_down 0.01	0.01	2
